omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.012592592592592588	0.01	0.020526212842182427	0.012592592592592588	0.010526212842182426	0.023118805434775014
0.1	0.11272499999999999	0.01	0.020219493775060438	0.012724999999999986	0.010219493775060437	0.022944493775060422
0.2	0.21273750000000008	0.01	0.020143033961899436	0.012737500000000068	0.010143033961899436	0.022880533961899506
0.3	0.3128860759493672	0.01	0.019817820071006135	0.012886075949367193	0.009817820071006135	0.02270389602037333
0.4	0.41283544303797454	0.01	0.019917594546253813	0.012835443037974514	0.009917594546253813	0.02275303758422833
0.5	0.5128860759493671	0.01	0.0198170542195668	0.012886075949367082	0.0098170542195668	0.022703130168933883
0.6	0.6130641025641027	0.01	0.019450094183835677	0.01306410256410273	0.009450094183835677	0.022514196747938406
0.7	0.7130769230769233	0.01	0.01940013374713792	0.013076923076923319	0.00940013374713792	0.022477056824061238
0.8	0.8132337662337661	0.01	0.019053128818923192	0.013233766233766042	0.009053128818923192	0.022286895052689236
0.9	0.9132207792207794	0.01	0.01908062598960586	0.013220779220779355	0.00908062598960586	0.022301405210385213
1.0	1.0133947368421048	0.01	0.01872685982767427	0.013394736842104793	0.008726859827674271	0.022121596669779066
1.1	1.1133552631578951	0.01	0.018703123539724684	0.013355263157895036	0.008703123539724683	0.022058386697619718
1.2	1.2133684210526312	0.01	0.018649544347670678	0.013368421052631252	0.008649544347670677	0.02201796540030193
1.3	1.3134933333333332	0.01	0.018423606270224213	0.013493333333333135	0.008423606270224213	0.021916939603557346
1.4	1.41344	0.01	0.01844606365507322	0.013440000000000119	0.00844606365507322	0.02188606365507334
1.5	1.5135945945945943	0.01	0.018179458510942534	0.013594594594594334	0.008179458510942534	0.021774053105536866
1.6	1.613554054054054	0.01	0.01815754196523799	0.013554054054053966	0.00815754196523799	0.021711596019291957
1.7	1.7137260273972603	0.01	0.017798537604884535	0.013726027397260365	0.007798537604884534	0.021524565002144898
1.8	1.8137260273972604	0.01	0.017777029099266102	0.013726027397260365	0.007777029099266102	0.021503056496526465
1.9	1.9137260273972607	0.01	0.0177356193424318	0.01372602739726081	0.007735619342431799	0.021461646739692607
2.0	2.013916666666667	0.01	0.01732334017160582	0.0139166666666668	0.007323340171605819	0.021240006838272617
2.1	2.1138888888888894	0.01	0.017319425058281407	0.013888888888889284	0.007319425058281407	0.02120831394717069
2.2	2.214042253521126	0.01	0.017056857203075496	0.014042253521125758	0.007056857203075495	0.021099110724201252
2.3	2.3139859154929576	0.01	0.0170685446402467	0.013985915492957801	0.007068544640246701	0.0210544601332045
2.4	2.4141714285714295	0.01	0.016752365366129455	0.014171428571429612	0.006752365366129455	0.020923793937559068
2.5	2.5141285714285697	0.01	0.016730604460298667	0.014128571428569714	0.006730604460298667	0.020859175888868382
2.6	2.6142898550724656	0.01	0.01639664106562928	0.014289855072465496	0.00639664106562928	0.020686496138094777
2.7	2.714260869565216	0.01	0.016426215465462378	0.014260869565215994	0.006426215465462378	0.02068708503067837
2.8	2.814352941176471	0.01	0.016184727346015088	0.014352941176471123	0.006184727346015087	0.02053766852248621
2.9	2.914338235294119	0.01	0.016168982729279118	0.014338235294119261	0.006168982729279118	0.02050721802339838
3.0	3.014477611940298	0.01	0.01586093098471171	0.014477611940297841	0.00586093098471171	0.02033854292500955
3.1	3.1144029850746286	0.01	0.015949452196957054	0.01440298507462856	0.005949452196957054	0.020352437271585616
3.2	3.2145909090909077	0.01	0.01557600703755336	0.014590909090907545	0.005576007037553361	0.020166916128460905
3.3	3.3145909090909083	0.01	0.015541181823313209	0.014590909090908433	0.0055411818233132085	0.02013209091422164
3.4	3.4147846153846166	0.01	0.015120611715518728	0.014784615384616728	0.005120611715518728	0.019905227100135457
3.5	3.5147230769230755	0.01	0.015186397786475587	0.014723076923075507	0.005186397786475587	0.019909474709551095
3.6	3.614890625000002	0.01	0.0148194644888723	0.014890625000001823	0.004819464488872299	0.019710089488874122
3.7	3.714843749999998	0.01	0.014826104993376905	0.014843749999997602	0.0048261049933769045	0.019669854993374508
3.8	3.8150000000000004	0.01	0.014567271130827212	0.015000000000000568	0.004567271130827211	0.01956727113082778
3.9	3.914904761904762	0.01	0.014588899430748823	0.014904761904761976	0.0045888994307488225	0.0194936613355108
4.0	4.015080645161289	0.01	0.014273524553441348	0.015080645161289041	0.004273524553441347	0.01935416971473039
4.1	4.114983870967744	0.01	0.014356246484222191	0.014983870967744117	0.004356246484222191	0.01934011745196631
4.2	4.215147540983605	0.01	0.014036711013006868	0.01514754098360438	0.004036711013006868	0.019184251996611248
4.3	4.315065573770493	0.01	0.014083791326727916	0.015065573770493224	0.004083791326727915	0.01914936509722114
4.4	4.415233333333332	0.01	0.01376221576840901	0.015233333333331878	0.0037622157684090093	0.018995549101740887
4.5	4.515133333333333	0.01	0.01381766003585771	0.015133333333332999	0.0038176600358577097	0.01895099336919071
4.6	4.615322033898306	0.01	0.013474098626828704	0.015322033898306664	0.0034740986268287036	0.018796132525135366
4.7	4.715220338983048	0.01	0.013513664110803729	0.015220338983048087	0.0035136641108037287	0.018734003093851814
