omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.0166698113207547	0.01	0.026761932219305343	0.0166698113207547	0.016761932219305345	0.033431743540060045
0.1	0.11663207547169806	0.01	0.026785852902287535	0.016632075471698052	0.016785852902287533	0.033417928373985585
0.2	0.21677142857142856	0.01	0.026498009223076203	0.016771428571428548	0.016498009223076204	0.03326943779450475
0.3	0.3169711538461539	0.01	0.026107390197961274	0.016971153846153886	0.01610739019796127	0.03307854404411516
0.4	0.41699038461538457	0.01	0.026043946915985335	0.016990384615384546	0.016043946915985333	0.03303433153136988
0.5	0.5171650485436892	0.01	0.025681438131731498	0.017165048543689165	0.0156814381317315	0.032846486675420665
0.6	0.6171650485436893	0.01	0.025618069174273013	0.017165048543689276	0.015618069174273013	0.03278311771796229
0.7	0.7173137254901959	0.01	0.02529551516291156	0.01731372549019594	0.01529551516291156	0.0326092406531075
0.8	0.8172843137254905	0.01	0.025304180632863885	0.01728431372549044	0.015304180632863885	0.03258849435835433
0.9	0.9174059405940596	0.01	0.025062585805023685	0.017405940594059532	0.015062585805023685	0.032468526399083215
1.0	1.0173762376237625	0.01	0.025019607470557155	0.017376237623762503	0.015019607470557155	0.032395845094319656
1.1	1.1175299999999997	0.01	0.024705504437521588	0.0175299999999996	0.014705504437521588	0.03223550443752119
1.2	1.21746	0.01	0.024758719857204785	0.01746000000000003	0.014758719857204785	0.032218719857204814
1.3	1.3177070707070708	0.01	0.02428726441874123	0.017707070707070782	0.014287264418741228	0.03199433512581201
1.4	1.4178673469387757	0.01	0.023925357563007312	0.017867346938775786	0.013925357563007312	0.0317927045017831
1.5	1.517867346938775	0.01	0.02393492627898846	0.017867346938774897	0.01393492627898846	0.031802273217763355
1.6	1.6179793814432992	0.01	0.023653799118960494	0.017979381443299136	0.013653799118960494	0.03163318056225963
1.7	1.717969072164949	0.01	0.02361336192349567	0.01796907216494903	0.013613361923495671	0.0315824340884447
1.8	1.818104166666666	0.01	0.02328951571687421	0.018104166666665922	0.01328951571687421	0.03139368238354013
1.9	1.9182421052631589	0.01	0.023041530197484273	0.018242105263158948	0.013041530197484273	0.03128363546064322
2.0	2.0182210526315787	0.01	0.02295771239545817	0.018221052631578694	0.012957712395458171	0.031178765027036863
2.1	2.118340425531916	0.01	0.022698910272083747	0.018340425531915727	0.012698910272083747	0.031039335803999472
2.2	2.218287234042553	0.01	0.022759975124176685	0.018287234042552836	0.012759975124176684	0.03104720916672952
2.3	2.318462365591398	0.01	0.022364381556526747	0.018462365591398022	0.012364381556526747	0.03082674714792477
2.4	2.418652173913045	0.01	0.02199263798198761	0.01865217391304519	0.011992637981987611	0.0306448118950328
2.5	2.5185978260869546	0.01	0.022005065220600813	0.018597826086954594	0.012005065220600812	0.030602891307555405
2.6	2.6187802197802204	0.01	0.02166684861338974	0.018780219780220264	0.01166684861338974	0.030447068393610006
2.7	2.7187252747252733	0.01	0.021596160128966143	0.018725274725273078	0.011596160128966143	0.030321434854239222
2.8	2.818866666666666	0.01	0.021331885250611617	0.018866666666666365	0.011331885250611616	0.03019855191727798
2.9	2.918966292134832	0.01	0.02112743439498295	0.01896629213483214	0.01112743439498295	0.03009372652981509
3.0	3.0189325842696615	0.01	0.021056481224784342	0.01893258426966149	0.011056481224784342	0.029989065494445834
3.1	3.119068181818183	0.01	0.02077875817507807	0.01906818181818304	0.010778758175078071	0.029846939993261108
3.2	3.219172413793103	0.01	0.020530906983226627	0.01917241379310264	0.010530906983226626	0.029703320776329263
3.3	3.319114942528736	0.01	0.020551955817401504	0.019114942528736023	0.010551955817401504	0.029666898346137525
3.4	3.4193255813953503	0.01	0.020106576175490304	0.019325581395350344	0.010106576175490304	0.029432157570840646
3.5	3.519220930232557	0.01	0.020179015914314247	0.019220930232557	0.010179015914314247	0.029399946146871248
3.6	3.6194117647058808	0.01	0.019824346201189787	0.019411764705880685	0.009824346201189786	0.02923611090707047
3.7	3.7195714285714283	0.01	0.01945639511964918	0.01957142857142813	0.00945639511964918	0.029027823691077308
3.8	3.8194642857142855	0.01	0.0195099806037862	0.019464285714285712	0.009509980603786201	0.028974266318071915
3.9	3.919602409638554	0.01	0.01924044467725986	0.019602409638554086	0.009240444677259861	0.028842854315813946
