r	Gamma
0.03	0.0
0.03	0.01
0.03	0.02
0.03	0.03
0.03	0.04
0.03	0.05
0.03	0.06
0.03	0.07
0.03	0.08
0.03	0.09
0.03	0.1
0.03	0.11
0.03	0.12
0.03	0.13
0.03	0.14
0.03	0.15
0.03	0.16
0.03	0.17
0.03	0.18
0.03	0.19
0.03	0.2
0.03	0.21
0.03	0.22
0.03	0.23
0.03	0.24
0.03	0.25
0.03	0.26
0.03	0.27
0.03	0.28
0.03	0.29
0.03	0.3
0.03	0.31
0.03	0.32
0.03	0.33
0.03	0.34
0.03	0.35
0.03	0.36
0.03	0.37
0.03	0.38
0.03	0.39
0.03	0.4
0.03	0.41
0.03	0.42
0.03	0.43
0.03	0.44
0.03	0.45
0.03	0.46
0.03	0.47
0.03	0.48
0.03	0.49
0.03	0.5
0.03	0.51
0.03	0.52
0.03	0.53
0.03	0.54
0.03	0.55
0.03	0.56
0.03	0.57
0.03	0.58
0.03	0.59
0.03	0.6
0.03	0.61
0.03	0.62
0.03	0.63
0.03	0.64
0.03	0.65
0.03	0.66
0.03	0.67
0.03	0.68
0.03	0.69
0.03	0.7
0.03	0.71
0.03	0.72
0.03	0.73
0.03	0.74
0.03	0.75
0.03	0.76
0.03	0.77
0.03	0.78
0.03	0.79
0.03	0.8
0.03	0.81
0.03	0.82
0.03	0.83
0.03	0.84
0.04	0.0
0.04	0.01
0.04	0.02
0.04	0.03
0.04	0.04
0.04	0.05
0.04	0.06
0.04	0.07
0.04	0.08
0.04	0.09
0.04	0.1
0.04	0.11
0.04	0.12
0.04	0.13
0.04	0.14
0.04	0.15
0.04	0.16
0.04	0.17
0.04	0.18
0.04	0.19
0.04	0.2
0.04	0.21
0.04	0.22
0.04	0.23
0.04	0.24
0.04	0.25
0.04	0.26
0.04	0.27
0.04	0.28
0.04	0.29
0.04	0.3
0.04	0.31
0.04	0.32
0.04	0.33
0.04	0.34
0.04	0.35
0.04	0.36
0.04	0.37
0.04	0.38
0.04	0.39
0.04	0.4
0.04	0.41
0.04	0.42
0.04	0.43
0.04	0.44
0.04	0.45
0.04	0.46
0.04	0.47
0.04	0.48
0.04	0.49
0.04	0.5
0.04	0.51
0.04	0.52
0.04	0.53
0.04	0.54
0.04	0.55
0.04	0.56
0.04	0.57
0.04	0.58
0.04	0.59
0.04	0.6
0.04	0.61
0.04	0.62
0.04	0.63
0.04	0.64
0.04	0.65
0.04	0.66
0.04	0.67
0.04	0.68
0.04	0.69
0.04	0.7
0.04	0.71
0.04	0.72
0.04	0.73
0.04	0.74
0.04	0.75
0.04	0.76
0.04	0.77
0.04	0.78
0.04	0.79
0.04	0.8
0.04	0.81
0.04	0.82
0.04	0.83
0.04	0.84
0.04	0.85
0.04	0.86
0.04	0.87
0.04	0.88
0.04	0.89
0.04	0.9
0.04	0.91
0.04	0.92
0.04	0.93
0.04	0.94
0.04	0.95
0.04	0.96
0.04	0.97
0.04	0.98
0.04	0.99
0.04	1.0
0.04	1.01
0.04	1.02
0.04	1.03
0.04	1.04
0.04	1.05
0.04	1.06
0.04	1.07
0.04	1.08
0.04	1.09
0.04	1.1
0.04	1.11
0.04	1.12
0.04	1.13
0.04	1.14
0.04	1.15
0.04	1.16
0.04	1.17
0.04	1.18
0.04	1.19
0.04	1.2
0.04	1.21
0.04	1.22
0.04	1.23
0.04	1.24
0.04	1.25
0.04	1.26
0.04	1.27
0.04	1.28
0.04	1.29
0.04	1.3
0.04	1.31
0.04	1.32
0.04	1.33
0.04	1.34
0.04	1.35
0.04	1.36
0.04	1.37
0.04	1.38
0.04	1.39
0.04	1.4
0.04	1.41
0.04	1.42
0.04	1.43
0.04	1.44
0.04	1.45
0.04	1.46
0.04	1.47
0.04	1.48
0.04	1.49
0.04	1.5
0.04	1.51
0.04	1.52
0.04	1.53
0.04	1.54
0.04	1.55
0.04	1.56
0.04	1.57
0.04	1.58
0.04	1.59
0.04	1.6
0.04	1.61
0.04	1.62
0.04	1.63
0.04	1.64
0.04	1.65
0.04	1.66
0.04	1.67
0.04	1.68
0.04	1.69
0.04	1.7
0.04	1.71
0.04	1.72
0.04	1.73
0.04	1.74
0.04	1.75
0.04	1.76
0.04	1.77
0.04	1.78
0.04	1.79
0.04	1.8
0.04	1.81
0.04	1.82
0.04	1.83
0.04	1.84
0.04	1.85
0.04	1.86
0.04	1.87
0.04	1.88
0.04	1.89
0.04	1.9
0.04	1.91
0.04	1.92
0.04	1.93
0.04	1.94
0.04	1.95
0.04	1.96
0.04	1.97
0.04	1.98
0.04	1.99
0.04	2.0
0.04	2.01
0.04	2.02
0.04	2.03
0.04	2.04
0.04	2.05
0.04	2.06
0.04	2.07
0.04	2.08
0.04	2.09
0.04	2.1
0.04	2.11
0.04	2.12
0.04	2.13
0.04	2.14
0.04	2.15
0.04	2.16
0.04	2.17
0.04	2.18
0.05	0.22
0.05	0.23
0.05	0.24
0.05	0.25
0.05	0.26
0.05	0.27
0.05	0.28
0.05	0.29
0.05	0.3
0.05	0.31
0.05	0.32
0.05	0.33
0.05	0.34
0.05	0.35
0.05	0.36
0.05	0.37
0.05	0.38
0.05	0.39
0.05	0.4
0.05	0.41
0.05	0.42
0.05	0.43
0.05	0.44
0.05	0.45
0.05	0.46
0.05	0.47
0.05	0.48
0.05	0.49
0.05	0.5
0.05	0.51
0.05	0.52
0.05	0.53
0.05	0.54
0.05	0.55
0.05	0.56
0.05	0.57
0.05	0.58
0.05	0.59
0.05	0.6
0.05	0.61
0.05	0.62
0.05	0.63
0.05	0.64
0.05	0.65
0.05	0.66
0.05	0.67
0.05	0.68
0.05	0.69
0.05	0.7
0.05	0.71
0.05	0.72
0.05	0.73
0.05	0.74
