r	Gamma
0.04	0.0
0.04	0.01
0.04	0.02
0.04	0.03
0.04	0.04
0.04	0.05
0.04	0.06
0.04	0.07
0.04	0.08
0.04	0.09
0.04	0.1
0.04	0.11
0.04	0.12
0.04	0.13
0.04	0.14
0.04	0.15
0.04	0.16
0.04	0.17
0.04	0.18
0.04	0.19
0.04	0.2
0.04	0.21
0.04	0.22
0.04	0.23
0.04	0.24
0.04	0.25
0.04	0.26
0.04	0.27
0.04	0.28
0.04	0.29
0.04	0.3
0.04	0.31
0.04	0.32
0.04	0.33
0.04	0.34
0.04	0.35
0.04	0.36
0.04	0.37
0.04	0.38
0.04	0.39
0.04	0.4
0.04	0.41
0.04	0.42
0.04	0.43
0.04	0.44
0.04	0.45
0.04	0.46
0.04	0.47
0.04	0.48
0.04	0.49
0.04	0.5
0.04	0.51
0.04	0.52
0.04	0.53
0.04	0.54
0.04	0.55
0.04	0.56
0.04	0.57
0.04	0.58
0.04	0.59
0.04	0.6
0.04	0.61
0.04	0.62
0.04	0.63
0.04	0.64
0.04	0.65
0.04	0.66
0.04	0.67
0.04	0.68
0.04	0.69
0.04	0.7
0.04	0.71
0.04	0.72
0.04	0.73
0.04	0.74
0.04	0.75
0.04	0.76
0.04	0.77
0.04	0.78
0.04	0.79
0.04	0.8
0.04	0.81
0.04	0.82
0.05	0.0
0.05	0.01
0.05	0.02
0.05	0.03
0.05	0.04
0.05	0.05
0.05	0.06
0.05	0.07
0.05	0.08
0.05	0.09
0.05	0.1
0.05	0.11
0.05	0.12
0.05	0.13
0.05	0.14
0.05	0.15
0.05	0.16
0.05	0.17
0.05	0.18
0.05	0.19
0.05	0.2
0.05	0.21
0.05	0.22
0.05	0.23
0.05	0.24
0.05	0.25
0.05	0.26
0.05	0.27
0.05	0.28
0.05	0.29
0.05	0.3
0.05	0.31
0.05	0.32
0.05	0.33
0.05	0.34
0.05	0.35
0.05	0.36
0.05	0.37
0.05	0.38
0.05	0.39
0.05	0.4
0.05	0.41
0.05	0.42
0.05	0.43
0.05	0.44
0.05	0.45
0.05	0.46
0.05	0.47
0.05	0.48
0.05	0.49
0.05	0.5
0.05	0.51
0.05	0.52
0.05	0.53
0.05	0.54
0.05	0.55
0.05	0.56
0.05	0.57
0.05	0.58
0.05	0.59
0.05	0.6
0.05	0.61
0.05	0.62
0.05	0.63
0.05	0.64
0.05	0.65
0.05	0.66
0.05	0.67
0.05	0.68
0.05	0.69
0.05	0.7
0.05	0.71
0.05	0.72
0.05	0.73
0.05	0.74
0.05	0.75
0.05	0.76
0.05	0.77
0.05	0.78
0.05	0.79
0.05	0.8
0.05	0.81
0.05	0.82
0.05	0.83
0.05	0.84
0.05	0.85
0.05	0.86
0.05	0.87
0.05	0.88
0.05	0.89
0.05	0.9
0.05	0.91
0.05	0.92
0.05	0.93
0.05	0.94
0.05	0.95
0.05	0.96
0.05	0.97
0.05	0.98
0.05	0.99
0.05	1.0
0.05	1.01
0.05	1.02
0.05	1.03
0.05	1.04
0.05	1.05
0.05	1.06
0.05	1.07
0.05	1.08
0.05	1.09
0.05	1.1
0.05	1.11
0.05	1.12
0.05	1.13
0.05	1.14
0.05	1.15
0.05	1.16
0.05	1.17
0.05	1.18
0.05	1.19
0.05	1.2
0.05	1.21
0.05	1.22
0.05	1.23
0.05	1.24
0.05	1.25
0.05	1.26
0.05	1.27
0.05	1.28
0.05	1.29
0.05	1.3
0.05	1.31
0.05	1.32
0.05	1.33
0.05	1.34
0.05	1.35
0.05	1.36
0.05	1.37
0.05	1.38
0.05	1.39
0.05	1.4
0.05	1.41
0.05	1.42
0.05	1.43
0.05	1.44
0.05	1.45
0.05	1.46
0.05	1.47
0.05	1.48
0.05	1.49
0.05	1.5
0.05	1.51
0.05	1.52
0.05	1.53
0.05	1.54
0.05	1.55
0.05	1.56
0.05	1.57
0.05	1.58
0.05	1.59
0.05	1.6
0.05	1.61
0.05	1.62
0.05	1.63
0.05	1.64
0.05	1.65
0.05	1.66
0.05	1.67
0.05	1.68
0.05	1.69
0.05	1.7
0.05	1.71
0.05	1.72
0.05	1.73
0.05	1.74
0.05	1.75
0.05	1.76
0.05	1.77
0.05	1.78
0.05	1.79
0.05	1.8
0.05	1.81
0.05	1.82
0.05	1.83
0.05	1.84
0.05	1.85
0.05	1.86
0.05	1.87
0.05	1.88
0.05	1.89
0.06	0.0
0.06	0.01
0.06	0.02
0.06	0.03
0.06	0.04
0.06	0.05
0.06	0.06
0.06	0.07
0.06	0.08
0.06	0.09
0.06	0.1
0.06	0.11
0.06	0.12
0.06	0.13
0.06	0.14
0.06	0.15
0.06	0.16
0.06	0.17
0.06	0.18
0.06	0.19
0.06	0.2
0.06	0.21
0.06	0.22
